question,correct,wrong1,wrong2,wrong3,difficulty,category
What is the chemical symbol for gold?,Au,Ag,Pb,Fe,2,Science & Nature
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,1,Science & Nature
What is the powerhouse of the cell?,Mitochondria,Ribosome,Nucleus,Lysosome,3,Science & Nature
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,2,Science & Nature
Which element has the atomic number 1?,Hydrogen,Helium,Lithium,Carbon,2,Science & Nature
What kind of animal is a Komodo dragon?,Lizard,Crocodile,Turtle,Snake,3,Science & Nature
What gas do plants absorb from the atmosphere?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,3,Science & Nature
Which organ pumps blood through the body?,Heart,Liver,Lung,Stomach,1,Science & Nature
What is the chemical formula for water?,H2O,CO2,NaCl,O2,1,Science & Nature
What is the hardest naturally occurring mineral?,Diamond,Quartz,Topaz,Emerald,3,Science & Nature
What type of celestial body is the Sun?,Star,Planet,Comet,Asteroid,2,Science & Nature
Which organ is responsible for filtering blood?,Kidney,Liver,Heart,Spleen,2,Science & Nature
What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,4,Science & Nature
What is the center of an atom called?,Nucleus,Electron,Proton,Neutron,3,Science & Nature
Which planet is known for its rings?,Saturn,Uranus,Jupiter,Neptune,2,Science & Nature
What vitamin is produced when a person is exposed to sunlight?,Vitamin D,Vitamin C,Vitamin A,Vitamin E,3,Science & Nature
What is the scientific name for the study of plants?,Botany,Zoology,Geology,Physics,4,Science & Nature
What is the smallest unit of life?,Cell,Tissue,Organ,Molecule,2,Science & Nature
What process do plants use to make food?,Photosynthesis,Respiration,Digestion,Excretion,3,Science & Nature
What part of the cell contains genetic material?,Nucleus,Cytoplasm,Membrane,Vacuole,3,Science & Nature
Which force keeps us from floating into space?,Gravity,Magnetism,Friction,Inertia,1,Science & Nature
Which part of the brain regulates balance?,Cerebellum,Cortex,Medulla,Thalamus,5,Science & Nature
What is the boiling point of water in Celsius?,100 degrees,212 degrees,0 degrees,50 degrees,2,Science & Nature
What is the most common type of star in the universe?,Red dwarf,Blue giant,White dwarf,Neutron star,6,Science & Nature
What is the main gas found in the Sun?,Hydrogen,Helium,Oxygen,Nitrogen,3,Science & Nature
"Which famous fortress was stormed on July 14, 1789?",The Bastille,Tower of London,Fort Sumter,Alcatraz,2,History
Who was the first President of the United States?,George Washington,Thomas Jefferson,John Adams,Abraham Lincoln,1,History
What ancient civilization built the Machu Picchu?,The Inca,The Maya,The Aztec,The Olmec,3,History
In which year did the Titanic sink?,1912,1897,1925,1905,3,History
Who was the famous Egyptian queen married to Julius Caesar?,Cleopatra,Nefertiti,Hatshepsut,Boudica,2,History
Where did the Battle of Hastings take place?,England,France,Spain,Scotland,5,History
What was the name of the ship that brought the Pilgrims to America?,Mayflower,Santa Maria,Beagle,Endeavour,2,History
Which Roman Emperor famously fiddled while Rome burned?,Nero,Caligula,Augustus,Tiberius,4,History
"Which war was fought in the 1850s involving Russia and an alliance of France, the UK, and the Ottoman Empire?",Crimean War,Napoleonic Wars,Franco-Prussian,Boer War,6,History
Who was the British Prime Minister during most of World War II?,Winston Churchill,Neville Chamberlain,Clement Attlee,Harold Macmillan,2,History
During which war did the Battle of Gettysburg occur?,Civil War,World War II,Revolutionary War,War of 1812,3,History
Who was the longest-reigning British monarch before Queen Elizabeth II?,Queen Victoria,King George V,Queen Anne,King Henry VIII,4,History
Which medieval empire was ruled by Charlemagne?,Frankish Empire,Byzantine Empire,Ottoman Empire,Holy Roman,5,History
What was the primary aim of the Magna Carta signed in 1215?,Limit power of kings,End serfdom,Start crusades,Form a parliament,5,History
What was the main outcome of the Treaty of Versailles?,Ended World War I,Created NATO,Divided Germany,Started League of Nations,4,History
Which year did the Berlin Wall fall?,1989,1991,1979,1985,3,History
Who led the Russian Revolution in 1917?,Vladimir Lenin,Joseph Stalin,Leon Trotsky,Karl Marx,3,History
What was the name of the plane that dropped the first atomic bomb?,Enola Gay,Spirit of St. Louis,Memphis Belle,Red Baron,4,History
Which empire was known for its road system connecting its vast territories?,Roman Empire,Ottoman Empire,British Empire,Mongol Empire,3,History
Who was the last Queen of France before the French Revolution?,Marie Antoinette,Catherine de Medici,Anne of Austria,Josephine Bonaparte,4,History
Which country was the first to grant women the right to vote?,New Zealand,United States,France,United Kingdom,6,History
Who was the leader of Italy during World War II?,Benito Mussolini,Vittorio Orlando,Giuseppe Garibaldi,Francesco Crispi,3,History
